2023-06-24 00:05:00,492 - INFO - n_updates: 0, episode: 0, done_reason: reverse, lap_time: 10.062339067459106, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:05:30,869 - INFO - n_updates: 50, episode: 1, done_reason: stuck, lap_time: 27.037095308303833, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:05:39,780 - INFO - n_updates: 79, episode: 2, done_reason: reverse, lap_time: 5.590756416320801, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:05:45,426 - INFO - n_updates: 91, episode: 3, done_reason: reverse, lap_time: 2.3275134563446045, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:05:51,551 - INFO - n_updates: 106, episode: 4, done_reason: reverse, lap_time: 2.8076415061950684, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:06:03,121 - INFO - n_updates: 150, episode: 5, done_reason: reverse, lap_time: 8.242790937423706, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:06:10,236 - INFO - n_updates: 170, episode: 6, done_reason: reverse, lap_time: 3.7893691062927246, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:06:35,151 - INFO - n_updates: 283, episode: 7, done_reason: stuck, lap_time: 21.590193033218384, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:06:55,016 - INFO - n_updates: 371, episode: 8, done_reason: stuck, lap_time: 16.53959059715271, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:07:17,533 - INFO - n_updates: 472, episode: 9, done_reason: stuck, lap_time: 19.18708324432373, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:07:41,366 - INFO - n_updates: 582, episode: 10, done_reason: stuck, lap_time: 20.48042321205139, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:08:01,689 - INFO - n_updates: 672, episode: 11, done_reason: stuck, lap_time: 17.003631353378296, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:08:59,911 - INFO - n_updates: 1021, episode: 12, done_reason: stuck, lap_time: 54.890915393829346, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:09:24,174 - INFO - n_updates: 1134, episode: 13, done_reason: reverse, lap_time: 20.916706085205078, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:09:35,330 - INFO - n_updates: 1176, episode: 14, done_reason: reverse, lap_time: 7.826659440994263, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:10:07,818 - INFO - n_updates: 1344, episode: 15, done_reason: stuck, lap_time: 29.157199382781982, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:10:22,239 - INFO - n_updates: 1402, episode: 16, done_reason: reverse, lap_time: 11.096347570419312, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:10:50,000 - INFO - n_updates: 1539, episode: 17, done_reason: stuck, lap_time: 24.43699336051941, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:11:01,558 - INFO - n_updates: 1584, episode: 18, done_reason: reverse, lap_time: 8.227833271026611, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:11:15,427 - INFO - n_updates: 1640, episode: 19, done_reason: reverse, lap_time: 10.540690422058105, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:11:41,179 - INFO - n_updates: 1760, episode: 20, done_reason: stuck, lap_time: 22.43143105506897, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:12:02,840 - INFO - n_updates: 1857, episode: 21, done_reason: stuck, lap_time: 18.3320791721344, new_best_laptime: True, current_best_lap_time: inf
